Race,"Rich(>16k), Middle(6k-16k), Poor(>6k)https://flowingdata.com/2014/07/02/jobs-charted-by-state-and-salary/",Age,Housing comments
white,poor,30,need to find a bigger house before the baby gets here
black,middle,40,"I am looking for a small studio or a master bdr suite with private bathroom, wifi, cable, access to kitchen. "
black,poor,50,seeking Sandy Springs or within 3 miles. 
white,middle,24,"Looking for a private room with private bathroom and spacious closet. Must be clean and a working professional like me, please! "
black,middle,26,"Looking for a roommate by May, all serious inquiries should DM me on my i G. It is at j a z z m i n a (underscore at the end) I am willing to move to these areas only, Dunwoody, Sandy Springs, Alpharetta, Roswell, Smyrna, Marietta or Kennesaw. Clean, quiet and fun! I’m usually to myself in my room most times or at work/school. I am looking to move beginning or end of may when my current lease is up."
black,middle,23,Hey guys my name is Shanise and I’m urgently looking for a room to rent. Moving out of California to Atl. My max is $800 preferably with my own bathroom and close to the city.
white,poor,22,"I would like a room and a bathroom, everything else can be shared space! I have 2 kitties, and lots of plants! I love crafting and interior design, I also have a decent amount of furniture. "
white,middle,27,"Hi! Looking for my own private bedroom and bathroom. If I don't have my own bathroom, not a dealbreaker! Looking for a roommate who is clean, respectful, has no pets, no kids, and drama free. Looking at all my options in Brookhaven, Midtown, Old Fourth Ward, Ansley Park, Castleberry Hill, and North Decatur. I am looking for roommates who are cannabis and LGBT friendly. Looking forward to meeting you! "
black,poor,30,"I'm looking to rent out an entire space somewhere near Clayton County, Rockdale County, or Henry County. I have a 6lb chihuahua that will be with me. She only barks for the door and trained. Thank you. friendly so if you allow smoking that's cool but no cigarettes."
black,poor,24,"I’m very respectful and clean. I have a 2 year old friendly yorkie, who is very quiet and trained. I’m a full time dental assistant who works long hours so I may be a church mouse during the week, but I’m lively on the weekends."
black,middle,25,I'm looking for a place maybe north near Sandy Springs or Dunwoody or in the city. I work in Alpharetta. I'm just looking to save some money so here I am. I'm moving from midtown. I have a yorkie and he's a friendly old guy and well trained doesn't potty in the house at all and doesn't bark but occasionally will whine for your attention to give him belly rubs. I don't smoke or drink and I might go out every once in a while but corona lol. I prefer someone who doesn't smoke inside. Mon-Fri I'm usually to myself and busy with work.
white,middle,25,"Hello, i need a room near the train station or in the city. My budget is . I’m never home due to me having to work a lot. I’m clean and quiet with no pets. I’m looking for a roommate that is clean and not full of drama."
white,middle,-,"From miami. Just moved here a couple of months ago. Looking for a place to be peaceful and save till I can can get my own place. Please message if your looking for a clean, quiet and responsible person who will always pay on time."
white,middle,22,Looking for a roommate to split a 2/2 apartment in Atlanta. Hoping to find another young professional around my age (22).
white,middle,25,"Veterinary technician. Looking to live in Dunwoody, Brookhaven, or Buckhead areas. Do not message me about places outside of these. Female roommates only."
white,middle,31,"Hello, I am a year old female.Professional hairstylist that move to Atlanta a few months ago. I am trying to break into the entertainment industry and Atlanta is the perfect place to be for that. I’m from Columbia, SC and believe in southern hospitality. I love meeting new people and exchange life experiences. I’m looking for a place that has washer dryer and possible a gym because I’m trying to get in shape. I’m pet friendly but I don’t have any pets. I’m friendly but I normally smoke outside because I don’t like the smell on my clothes or in my room."
black,middle,32,28 year old accountant dog exhibitor/breeder pianist....... very open very spiritual (know the difference) we have a meditation garden and often have people over for meditation and helping with spiritual understanding! Not always Christian views. Room available LGBT Friendly. must be okay with dogs
white,middle,26,"I have one bedroom available in my bath house near Downtown and Midtown starting March 2nd. The location is incredible - minute or less walk to the Beltline, Washington Park, and Ashby Station! Rent per bedroom is $ per month plus $ in utilities (includes a monthly cleaning as well), and a $ security deposit is required before move in. A monthly lease option is available, and this house is furnished. This would be great option for someone that is moving to Atlanta or into the city. Ideally for young professionals and recent graduates, not suitable for couples or children. A little bit about me - I’m a y/o male, UGA grad, and lifelong metro Atlanta resident. I’ve traveled the world and photography is one of my main interests. I’ve worked with startups and plan on getting back into the tech industry this year. This would be a great place for other entrepreneurs and creatives. "
black,middle,31,"Spacious home with large backyard and driveway. Kitchen has all new stainless steel appliances (Refrigerator, Dishwasher, Wall oven & Cooktop stove). Opens up to large backyard area. Recently remodeled bathroom. You’ll share with one other guest. Super comfy Queen sized bed. This room comes with just one but is large enough to fit two of these beds (for size reference). Amazing natural light shines through these almost floor to ceiling windows. Spacious closet. We’ve fit a queen size bed and box spring into this closet, vertically, with the door closed. There’s a second closet with shelves, next to this one. Washer and dryer are included. Detergent and fabric softener sold separately lol. WiFi, Electricity, AC, Heat/Gas, Water included. You'll get your own code to the security system."
black,middle,39,"all utillites included , (utillitites and high speed xfinity internet) I am renting out the master bedroom with private bath. On the Chattahoochee river and jogging trail 2 pools, tennis courts, close to Buckhead located in Atlanta/Vining right on the Chattahoochee national park, river and trail, intersects the silver commit trail, buck head, minutes from midtown, GA-TECH, SP-TU, KSU and LIFE University, great public transit, malls, groceries gyms right of safe and secure gated complex, said to be one of the best locations in Atlanta. absolutely no smokers/drugsIf interested feel free to contact me about checking the room out. thanks all utilities are included ."
white,middle,61,"Charming shared house in Reynoldstown. One bedroom private bath, shared house. Perfect for Film Industry. Close to airport and beltline"
black,middle,34,"Private suite with bathroom and huge closet in the bedroom. Stainless steel appliances, hardwood floors downstairs, huge TV in bedroom. Surround sound in living room for your enjoyment of movies. This is definitely a must see"
black,middle,23,"West midtown apartment. Two bedrooms and two bathrooms. Ten ft ceilings, stainless steel whirlpool appliances. Mostly furnished and in unit laundry! Wonderful amenities on the property. Looking for a woman to rent the second bedroom"
white,middle,41,"Rent plus all utilities (incl Fiber internet) average around one thousand per month. There is a nice fitness center here that is open hours, free breakfast and coffee in the community lounge, et al. I have most furniture and appliances, including a couch, full-sized washer and dryer, kitchen appliances, vacuum, etc. There is on- storage and the parking garage is connected directly to the apartment level. There is no charge for parking. The apartment complex is in walking distance to the Chattahoochee River and the Palisades Riverwalk, the Cumberland Mall, and Costco. The Braves Stadium / The Battery is a two minute drive away. If you drive to other parts of the metro area for work, the location is hard to beat."
white,middle,35,"2 female roommates seeking 3rd female roommate. All utilities included in monthly rent. Furnished room with full bed and wardrobe. Private attached bathroom with standing shower. Lots of free off-street parking. Safe neighborhood, clean home. Household has cats. $ deposit & $ application fee."
white,middle,27,"It's a and half bathroom Apartment that you will share with 2 other roommate that are already on the lease. you have a full size kitchen with in unit washer and dryer. You have a bedroom Size of . You have a private bathroom with the exception you share the bathroom with my roommates downstairs. He is very open to communicating when he needs that since he helps save you rent money and utilities__ the room has walk in closet, and you can utilities whatever you would like in the kitchen. You have access to our outdoor patio and if you drive we have the parking pass that you can put on your car or a friend that parks. The office has a club lounge gym, which unfortunately isn't open at the moment until management get the okay with state county rules and regulations. Their is also a swimming pool near the management office. If you would like a dog or cat it's Jon refundable that you pay with management. My current roommate down stairs who shares the living room does have a cat so you would have to be be okay with a cat."
white,middle,54,BA brand new condo. Private bedroom with bathroom outside bedroom. Shared kitchen/dining room and living room. Large outdoor space. Large room fir bedroom.
white,middle,25,"Young professional living in Atlanta! I am a data scientist at Amazon who is looking for a chill roommate. I like to read, workout and watch tv shows. Room available in amazing fully furnished, recently renovated corner unit in Atlantic Station Highrise! Large Roommate floorplan with separate bathrooms, floor to ceiling windows throughout, huge balcony, ” TV, in-unit washer dryer and more! Building has pool, clubroom, gym, concierge and security"
white,middle,55,"Either or both bedrooms with 1 full bath + third util. Private home. Seeking quiet roommate, Professional & employed full time. Refs req'd. Non smokers/drugs. No pets. Limited visitors. Quiet street on cul-de-sac. Some furnishings available if needes (no beds). Price is more for both bedrooms."
black,middle,26,"Private bedroom available in a . Located in the heart of Alpharetta minutes from downtown Alpharetta, Avalon, GA, parks and walking distance to shopping and dining off Winward Parkway. Currently I am the only one occupying and no pets. Looking for a young working professional. Room is unfinished!"
white,middle,26,"Furnished bedroom in furnished house located in a family oriented community, minutes away from downtown Atlanta and downtown Decatur. Bills (internet, power, gas) are included in rent, rent is due the 5th of every month. Move in fees will be returned after moving out if nothing has been broken or damaged. Looking for a mature, considerate roommate, looking forward to hear from you."
white,middle,24,"I’m looking for a female roommate to fill the open room near Decatur. I have a bunny but he is potty trained, clean and has his own space. The yard is very large and fenced in. All appliances are new, including the water heater, AC unit and my washer and dryers. I’m super chill but very responsible."
white,middle,61,"2 rooms and bath in a two story 4 bedrooms house , in John's Creek area. Prefere a quite, clean, respectful individual, smoke and drug free, verifiable income and no criminal history."
black,middle,23,"I am looking for a responsible, reliable, mature people to sublet a room in a unique modern 5 Bedroom furnished house. The bedrooms are fully furnished and spacious. The rooms has a large windows , a lovely en suite shower room, a Queen-size beds, wooden floors and it is a very good size. Vibrant neighborhood with great variety of cafes, bars, restaurants, groceries, public library and amenities..The house is also in a very quiet location.. Ideally, I'm looking for someone with no drama, pay bills on time and responsible with the rent..Someone i can get along with, female or male who are clean and tidy, a good laugh respect privacy and wouldn't mind doing things together as roommates once in a while. If this is what you are looking for, send me an with a few details about yourself as that could help strengthen the deal..Include your address. Will send pics to the serious only.. TY for reading! Message me if serious"
black,middle,28,"My name is Carlos, and I'm an architectural designer that recently moved to Atlanta after spending all of my life in Florida. I'm really easy going, down to earth, love music, food, and hanging out with friends. Currently looking for a roommate to take the spot of my current roommate who is moving out February th for a job opportunity in Florida. Hoping to find a cool down to earth, socialable roommate that is nice and neat. The current lease I am in ends August , however I would be willing to re-sign. This is an updated bathroom unit, with nice stainless steel appliances, a beautiful rooftop pool that overlooks both downtown and Buckhead. There is free gated parking with a key fob, with visitor parking on the top floor. The price of the apartment with electricity, cable, internet and all other utilities comes out to about $ a month total, so after splitting, it is about $ a month for the 2 of us. Its located in the Lindbergh area with target, Kroger, and a bunch of restaurants and shopping in a short walking distance, as well as a 5 minute walk to the Marta train station (one way train directly to the airport) It is an extremely convenient location. The apartment will be fully ready for move in, and all that is required is a $ application fee. The move in date will be March 1st, and that is also the day that rent is due for the month of March, so that will also be a part of the move in payment. Please let me know if you are interested and I can give any other information you need!"
white,middle,33,"Bedroom for rent in a duplex in Woodland Hills. Great location, clean well kept. Has garage for storage and a fenced in back yard. Washer and dryer and all utilities included."
white,middle,55,"Private room and bathroom. Very clean, fully furnished home in popular subdivision with many amenities. Garage parking for small to midsize vehicles. Easy highway access. I do have two small dogs."
white,middle,27,"House in East Atlanta Village. Indoor amenities: Fully furnished, Dishwasher, Washer / dryer in house, Big screen TV with subwoofer, Central air (controllable on your phone), Closet & basement storage, Plenty of natural light, Brand new refrigerator with ice maker/water, Bar in basement for entertaining. Outside amenities: Off-street parking, Walking distance to EAV bars, Two min from I-twenty, Backyard with deck, BBQ, and vegetable garden, Dead-end quiet street, Garage, Front porch with swing. Please be LGBT friendly and without children or dogs, thanks! Utilities an additional ~$One hundred/mo Friendly as long as its done outside/in basemen"
black,middle,47,"Looking for a roommate in quiet diverse gated community. On the busline close to Marta station. Near downtown Decatur minutes from downtown Atlanta. Must be clean no pets. Utilities included, wifi, cable with washer/dryer. Shared kitchen, living spaces etc. Outside smokers, cpls must pay extra"
black,middle,31,"Beautiful private room with en-suite, open floor plan condo in PRIME Buckhead location. Easy access to & . Condo includes updated stainless steel appliances in kitchen. Private balcony off family room. Large bedroom with walk-in closet. Washer & Dryer in-unit. Pool & Fitness Ctr"
black,middle,39,My partner and I have a room for rent in Riverdale we’re looking for clean respectful people also no party people no drugs and working people we prefer female only the room is only for one person.
white,middle,-,"Beautiful remodeled modest home at the end of a cul-de-sac. Quiet, safe neighbor close to everything you need. Grocery stores, gyms, parks, schools, and downtown Woodstock. Atlanta is a min drive. Property has blueberry bushes, fig tree, raised veggie beds & ton ofnatursl space. Good vibes only!"
black,middle,-,"Beautiful bth apartment available for rent in Sandy spring only min away from Northlake Mall, and mins away from Buckhead"
white,middle,29,"The apartment is located on Cobb parkway on the chattahoochee river, it’s right down the street from Cumberland mall, braves stadium, main event and tons of dining and shopping areas, it’s near all major highways and Marta stops, looking for someone who is responsible, respectful and willing to stay for a few months, no pets the complex charges a high pet deposit"
